lat,long,postcode,name,address
-37.8542,144.741647,3027,FUTURE KIDS CHILD CARE CENTRE -WYNDHAM WATERS,"Bronzewing Street, Wyndham Waters, Williams Landing"
-37.822438,144.954337,3005,FUTURE KIDS CHILD CARE-WORLD TRADE CENTRE,"Siddeley Street, Docklands"
-38.197916,144.341623,3214,GEELONG CHILDRENS SERVICES CHILD CARE & EDUCATION CENTRE,"Torquay Road, Grovedale, Geelong"
-38.140157,144.325244,3214,GEELONG KIDS CHILD CARE AND KINDERGARTEN,"335, Autumn Street, Herne Hill, Geelong"
-37.868576,145.261448,3155,GENESIS CRECHE WANTIRNA,"Scoresby Road, Boronia"
-37.701158,144.564177,3337,GENESIS KIDS ZONE,"Brooklyn Road, Brookfield"
-37.882013,145.162828,3150,GLEN WAVERLEY OCCASIONAL CHILD CARE,"Bogong Avenue, Syndal, Glen Waverley"
-37.796912,144.989712,3066,GOLD STREET CHILD CARE CENTRE,"64, Gold Street, Collingwood"
-37.731856,142.031183,3407,GOOD SHEPHERD CHILD CARE CENTRE,"33, McArthur Street, Hamilton, Shire of Southern Grampians"
-37.81103,145.068224,3103,GOODLIFE OPERATIONS CHILD CARE CENTRE -BALWYN,"Whitehorse Road, Deepdene"
-37.732581,144.813033,3021,GRACE STREET CHILD CARE CENTRE,"Grace Street, St Albans"
-38.11756,145.149578,3198,GREEN COTTAGE CHILD CARE,"Madden Street, Frankston North, Frankston"
-37.780763,145.033996,3079,GUM NUT PRESCHOOL & CHILD CARE,"Como Street, Alphington"
-36.548116,145.984997,3672,GUM NUTS RESORT,"Carrier Street, Benalla"
-38.234691,146.395853,3840,GUNAI LIDJ CHILD CARE CENTRE,"24, Buckley Street, Morwell, Latrobe City"
-36.398571,145.39019,3629,GUTHRIE STREET CHILD CARE CENTRE,"Guthrie Street, Shepparton"
-37.937,145.023652,3188,HAMPTON CHILD CARE CENTRE,"Bluff Road, Hampton East"
-37.940577,145.002156,3187,HAMPTON LADIES HEALTH CLUB CHILD CARE CENTRE,"Crisp Street, Hampton"
-37.65698,145.074832,3082,HAPPY FACES CHILD CARE CENTRE,"Centenary Drive, Mill Park"
-37.960758,145.206746,3175,HAPPY KIDS CHILD CARE CENTRE,"158, Gladstone Road, Dandenong North, Dandenong"
-38.100928,145.28093,3977,HAPPY LITTLE LEARNERS CHILD CARE CENTRE,"Station Street, Cranbourne"
-37.847784,145.082886,3124,HARTWELL CHILD CARE ASSOC,"Milverton Street, Camberwell"
-38.30844,145.192267,3915,HASTINGS CHILD CARE CENTRE,"King Street, Hastings"
-37.821337,145.042426,3122,HAWTHORN COMMUNITY HOUSE CHILD CARE SERVICE,"Henry Street, Hawthorn"
-37.836245,145.241754,3135,HEATHMONT CHILD CARE CENTRE,"Eden Avenue, Heathmont"
-37.828274,145.256566,3135,HEATHMONT EAST CHILD CARE CENTRE,"Armstrong Road, Heathmont"
-37.747772,145.056914,3081,HEIDELBERG OCCASIONAL CHILD CARE CENTRE,"Altona Street, Heidelberg Heights"
-37.797311,145.289992,3136,HEWISH ROAD CHILD CARE CENTRE,"Hewish Road, Croydon"
-37.961278,145.137821,3172,HIGH FLYERS CHILD CARE CENTRE,"Clarke Road, Springvale South"
-38.188658,144.326999,3214,HIGHTON CHILD CARE & DEVELOPMENT CENTRE PTY LTD,"Reynolds Road, Belmont, Geelong"
-37.739729,144.892153,3040,HONEYBEE CHILD CARE CENTRE,"Hoffmans Road, Niddrie"
-35.730103,142.363095,3396,HOPETOUN CHILD CARE SERVICE,"Mandeville Street, Hopetoun"
-37.878008,144.691034,3030,HOPPERS CROSSING OCCASIONAL CHILD CARE CENTRE,"Heaths Road, Hoppers Crossing, Werribee"
-36.714478,142.20362,3400,HORSHAM COMMUNITY CHILD CARE CENTRE,"Roberts Avenue, Horsham"
-36.715252,142.202928,3400,HORSHAM UNITING CHURCH CRECHE,"Pynsent Street, Horsham"
-37.771179,144.77892,3023,HUNT CLUB COMMUNITY ARTS CENTRE -OCCASIONAL CHILD CARE,"Hume Street, Deer Park"
-37.895937,144.999434,3185,HUNT COMMUNITY CHILD CARE CENTRE,"Cochrane Street, Brighton"
-37.896131,144.622784,3030,IRAMOO COMMUNITY CENTRE OCCASIONAL CHILD CARE,"Honour Avenue, Windermere, Wyndham Vale, Werribee"
-37.685257,144.934621,3047,ISIK COLLEGE CHILD CARE CENTRE AND KINDERGARTEN,"ISIK College, Cuthbert Street, Broadmeadows"
-37.762214,145.042884,3079,IVANHOE AQUATIC CENTRE CHILD CARE,"Bond Street, Ivanhoe"
-37.970311,145.202643,3175,JELLY BEAN CHILD CARE CENTRE,"Florence Court, Dandenong"
-37.77574,144.8317,3020,JIGSAW CHILD CARE,"Phoenix Street, Sunshine North"
-37.880432,145.271573,3156,JOHNSON AND FRIENDS CHILD CARE CENTRE,"Burwood Highway, Ferntree Gully"
-37.894681,145.151899,3150,JOLLY JUMBUCKS CHILD CARE,"28-30, Chivers Avenue, Glen Waverley"
-37.93189,145.438481,3782,JOLLY JUMBUCKS CHILD CARE EMERALD,"267 - 271, Belgrave - Gembrook Road, Emerald"
-37.695114,144.959366,3060,JOYBELLE CHILD CARE CENTRE,"Sydney Road, Fawkner"
-38.150246,145.141631,3198,JUBILEE PARK NURSERY SCHOOL,"Reservoir Road, Frankston"
-37.878501,145.00966,3161,JUDY KLEINS CRECHE,"Glen Eira Road, Caulfield"
-37.960293,145.055449,3192,JUGGLES OCCASIONAL CHILD CARE CENTRE,"12, Jamieson Street, Cheltenham"
-37.719472,145.221244,3095,JUNIORS FARM CHILD CARE CENTRE,"Floods Road, North Warrandyte, Kangaroo Ground"
-36.1198,146.855484,3690,K 4 KIDZ CHILD CARE,"Lawrence Street, West Wodonga, Wodonga"
-37.919739,145.126017,3800,KANOOKA CHILD CARE CENTRE,"29-31 Kanooka Grove, Clayton"
-37.777398,145.250983,3134,KARDINIA CHILD CARE CENTRE,"Kardinia Crescent, Warranwood"
-37.725681,144.804286,3038,KEILOR DOWNS CHILD CARE CENTRE,"39, Thornhill Drive, Keilor Downs"
-37.715494,144.822966,3036,KEILOR GATEHOUSE,"Parramatta Road, Keilor"
-37.907272,145.264382,3156,KELLBOURNE HEIGHTS KINDERGARTEN & CHILD CARE CENTRE,"Murrindal Drive, Rowville"
-37.795513,144.930293,3000,KENSINGTON TURKISH CHILD CARE CENTRE,"Wolseley Parade, Kensington"
-37.793244,144.927925,3000,KENSINGTON WOMENS GROUP CHILD CARE ASSOCIATION INC,"McCracken Street, Kensington"
-37.803174,145.038369,3102,KEW RECREATION CHILD CARE CENTRE,"Derby Place, Willsmere, Kew"
-37.881724,145.178022,3150,KIDS ON GALLAGHERS CHILD CARE CENTRE,"254, Gallaghers Road, Glen Waverley"
-37.797209,144.81922,3020,KILLEEN STREET CHILD CARE CENTRE,"Killeen Street, Sunshine West"
-37.299748,144.953248,3764,KILMORE CHILD CARE CENTRE,"White Street, Kilmore"
-37.298421,144.953704,3764,KILMORE LEISURE CENTRE CRECHE,"White Street, Kilmore"
-37.964577,145.034947,3193,KING CLUB CRECHE,"Tulip Street, Black Rock"
-38.057571,145.314577,3806,KINGS CHILD CARE CENTRE,"The Avenue, Narre Warren South"
-37.995131,145.092507,3195,KINGSTON KIDS PRESCHOOL & CHILD CARE CENTRE,"62, Warren Road, Mordialloc"
-37.814469,145.248473,3135,KNAITH ROAD CHILD CARE CENTRE,"Knaith Road, Ringwood East"
-36.375436,145.410079,3629,KNIGHT STREET PRESCHOOL & CHILD CARE CENTRE,"Knight Street, Shepparton"
-37.727316,144.895366,3041,KOALA CHILD CARE & EARLY LEARNING CENTRE -ESSENDON FIELDS,"Bristol Street, Essendon Fields"
-37.836056,145.230099,3135,KOALA CHILD CARE & EARLY LEARNING CENTRE -HEATHMONT,"Marlborough Road, Heathmont"
-37.718615,144.993069,3073,KOALA CHILD CARE & EARLY LEARNING CENTRE -RESERVOIR,"Henty Street, Reservoir"
-37.838802,145.032246,3121,KOOYONG LAWN TENNIS CLUB CHILD CARE CENTRE,"Gardiners Creek Trail, Burnley"
-37.71249,144.792953,3038,LADY NELSON EARLY LEARNING AND CHILD CARE CENTRE,"Lady Nelson Way, Keilor Downs"
-37.868772,148.006403,3909,LAKES AQUADOME CRECHE,"Palmers Road, Lakes Entrance, Cunninghame"
-37.872979,148.002949,3909,LAKES ENTRANCE CHILD CARE CENTRE,"Lakes Entrance, Shire of East Gippsland"
-37.878368,145.253388,3180,LAKEWOOD CHILD CARE & KINDERGARTEN,"Peppermint Grove, Knoxfield"
-38.164413,145.155366,3198,LAKEWOOD CHILD CARE CENTRE,"Grocery Outlet, Raphael Crescent, Frankston"
-37.667224,145.015966,3075,LALOR CHILD CARE CENTRE,"Duncan Road, Lalor"
-37.849198,145.010358,3004,LANCASTER & FRANK HARTLEY HOUSE CHILD CARE CENTRE,"Malvern Road, Prahran"
-37.579222,145.137326,3755,LAURIMAR CHILD CARE AND EARLY LEARNING,"Flaxen Hills Road, Laurimar, Doreen, Yan Yean"
-38.188317,144.324739,3214,LEISURE LINK CHILD CARE CENTRE,"Geelong Bowling Lanes, Reynolds Road, Belmont, Geelong"
-36.403733,145.352639,3629,LIDJE MACS CHILD CARE CENTRE,"Rumbalara Road, Mooroopna"
-37.921819,145.173472,3170,LITTLE ANGELS CHILD CARE CENTRE,"Anora Crescent, Mulgrave"
-37.896968,144.63998,3030,LITTLE BLOSSOMS CHILD CARE CENTRE,"Ballan Road Service Road, Werribee"
-37.870515,144.76148,3028,LITTLE BLOSSOMS CHILD CARE CENTRE -ALTONA MEADOWS,"1, Fitzpatrick Drive, Altona Meadows"
-37.896715,145.101806,3166,LITTLE FOLKS CHILD CARE CENTRE,"Ferntree Gully Road, Oakleigh East"
-37.816837,145.205531,3132,LITTLE LEAGUE PROFESSIONAL CHILD CARE,"670, Maroondah Highway, Mitcham"
