"State","Municipality","Name Id","Place Name","Place Name Status","Feature Type Code","Feature Type","Longitude","Latitude","Place Id","Historical Information","Origin Language","Australian Indigenous Language","Anzac Related Name","Date First Recorded Day","Date First Recorded Month","Date First Recorded Year","Source","Author","Title","Date Published Day","Date Published Month","Date Published Year","Publisher","Place of Publication","Pages(s)","Editor","Chapter Title","Journal Name","Issue","Year","Newspaper","File Number","Site Owner","Page Title","Site Title","Url","Location","Type of Artefact","Cartographer","Scale","Informant","Tape Title","Tape Number","Municipal Name","Endorsed by Council","Council Minutes","Organisation Name","Endorsed by GPNAP"
"VIC","MONASH CITY","116553","BRINE STREET CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.076973","-37.907584","116308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MORELAND CITY","116564","BRUNSWICK CRECHE & DAY NURSERY","RECORDED","CHCA","CHILD CARE","144.966181","-37.772248","116319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","CORANGAMITE SHIRE","118430","BUCKLE MY SHOE","RECORDED","CHCA","CHILD CARE","142.919332","-38.245712","118185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MANNINGHAM CITY","116574","BULLEEN TEMPLESTOWE BASKETBALL CLUB INC CRECHE","RECORDED","CHCA","CHILD CARE","145.093991","-37.759171","116329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","KINGSTON CITY","116577","BUNNYKINS CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.12289","-38.050072","116332","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MONASH CITY","116582","BURTON STREET (CENTRE 2)","RECORDED","CHCA","CHILD CARE","145.108365","-37.876136","116337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","YARRA RANGES SHIRE","116585","BUSY KIDS CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.325538","-37.779329","116340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BRIMBANK CITY","116586","CAIRNLEA KINDY AND CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","144.788902","-37.759031","116341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BOROONDARA CITY","116590","CAMBERWELL KINDERGARTEN AND CHILD CARE CENTRE","RECORDED","CHCA","CHILD CARE","145.06373","-37.833","116345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","YARRA CITY","116592","CAMELOT CHILD CARE & EARLY LEARNING CENTRE","RECORDED","CHCA","CHILD CARE","144.995039","-37.816847","116347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
